Cust_ID,Gender,Device,First_timer,Channel ,Day,Min_spent,Clicks,Annual_inc,Country,Age,Purchased,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
J#58032A,male,PC,1,Social media ads,FRI,4,21,40000,India,41,0,0,0,0,0
Z#51384I,male,Mobile,1,Google search,WED,2,17,40000,China,32,0,0,0,0,0
T#46862G,female,PC,0,Other,FRI,7,20,35000,Japan,58,1,0,0,0,0
M#33554V,male,Mobile,1,Google search,TUE,5,15,35000,Canada,54,0,0,0,0,0
X#92545O,male,Mobile,1,Social media ads,SAT,9,19,10000,Ireland,55,1,0,0,0,0
W#91904D,male,PC,1,Email ,SAT,8,16,58000,UK,30,1,0,0,0,0
G#42167I,male,PC,0,Social media ads,THU,2,26,76000,Canada,62,1,0,0,0,0
H#82421S,male,Tablet,1,Affiliate link,FRI,11,21,25000,Russia,59,1,0,0,0,0
I#47535W,male,Other,0,Email ,MON,7,17,35000,USA,66,1,0,0,0,0
Z#67029W,male,PC,0,Website,THU,8,16,100000,Russia,41,0,0,0,0,0
Y#23573P,female,Mobile,0,Referral,WED,6,18,25000,Mexico,57,0,0,0,0,0
B#30138F,male,Tablet,1,Referral,THU,15,26,40000,Canada,22,1,0,0,0,0
H#52368R,male,Other,0,Referral,WED,5,27,58000,India,30,0,0,0,0,0
Q#18653B,female,Tablet,1,Google search,THU,15,16,35000,India,48,1,0,0,0,0
W#54997I,male,Other,1,Youtube channel,SUN,12,27,25000,India,20,0,0,0,0,0
B#61516W,female,Mobile,1,Google search,SUN,14,25,40000,Malaysia,57,1,0,0,0,0
U#22709W,female,PC,0,Referral,SUN,9,27,58000,Malaysia,51,0,0,0,0,0
Y#78564A,male,Tablet,0,Website,SAT,14,22,10000,China,37,0,0,0,0,0
F#45443J,male,Tablet,0,Website,SAT,7,16,10000,Mexico,68,0,0,0,0,0
U#13186N,female,PC,0,Google search,TUE,6,14,10000,UK,68,1,0,0,0,0
Q#29831U,male,Tablet,1,Social media ads,TUE,6,18,76000,UK,62,0,0,0,0,0
N#80438B,male,PC,1,Social media ads,SAT,15,26,25000,UK,32,0,0,0,0,0
O#33006F,male,Mobile,0,Affiliate link,SUN,10,21,76000,UK,22,0,0,0,0,0
A#39186D,male,Other,1,Other,THU,14,25,58000,Japan,45,1,0,0,0,0
X#72136Q,male,Tablet,0,Referral,MON,15,27,58000,Malaysia,44,0,0,0,0,0
N#94277M,female,Other,0,Youtube channel,SAT,10,23,40000,Canada,54,0,0,0,0,0
Q#35296Y,male,Other,1,Google search,THU,12,19,58000,Canada,35,0,0,0,0,0
B#47787E,male,Other,1,Other,WED,7,21,35000,India,57,0,0,0,0,0
H#84658V,female,PC,1,Website,FRI,12,26,10000,India,67,0,0,0,0,0
G#82560B,female,Mobile,0,Referral,SAT,4,18,58000,China,34,1,0,0,0,0
Y#53010O,female,PC,1,Youtube channel,WED,10,19,100000,China,53,1,0,0,0,0
C#36141K,male,PC,0,Other,WED,8,24,58000,Russia,25,1,0,0,0,0
D#25480G,female,PC,0,Email ,FRI,3,19,58000,Russia,40,1,0,0,0,0
S#89390E,male,PC,0,Other,SUN,5,24,25000,Malaysia,51,0,0,0,0,0
K#14494N,male,PC,0,Youtube channel,TUE,5,24,58000,USA,60,0,0,0,0,0
